web-scraper-order,web-scraper-start-url,restaurants,restaurants-href,name,cuisine,place,ratings,delivery time,veg / non-veg,discounts
"1619670204-12","https://www.swiggy.com/restaurants","Heena panchwati sweetDesserts4.0•24 MINS•₹150 FOR TWO40% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/heena-panchwati-sweet-kankarbagh-patna-318882","Heena panchwati sweet","Desserts","Kankarbagh, Kankarbagh","4.0","24 MINS","Veg Only","40% off up to ₹80 | Use code SWIGGYITFree delivery upto ₹20 on orders above ₹129 | Use code FREEDEL"
"1619670199-10","https://www.swiggy.com/restaurants","Gangadhar Hotel- Pure VegNorth Indian2.8•30 MINS•₹150 FOR TWOQuick View","https://www.swiggy.com/restaurants/gangadhar-hotel-pure-veg-station-road-fraser-road-patna-151766","Gangadhar Hotel- Pure Veg","North Indian","station road, Fraser Road","2.8","31 MINS","Pure Veg","null"
"1619670191-7","https://www.swiggy.com/restaurants","Dosa Plaza (PURE VEG)South Indian, Fast Food3.9•40 MINS•₹199 FOR TWO30% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/dosa-plaza-pure-veg-gandhi-maidan-fraser-road-patna-88779","Dosa Plaza (PURE VEG)","South Indian, Fast Food","Gandhi maidan, Fraser Road","3.9","41 MINS","Pure Veg","30% off up to ₹150 on orders above ₹325 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT"
"1619670184-4","https://www.swiggy.com/restaurants","Chennai Dosa PlazaSouth Indian3.8•40 MINS•₹300 FOR TWO10% off | Use JUMBOQuick View","https://www.swiggy.com/restaurants/chennai-dosa-plaza-boring-road-srikrishnapuri-patna-87403","Chennai Dosa Plaza","South Indian","Boring Road, Srikrishnapuri","3.8","40 MINS","Pure Veg","10% off up to ₹100 on orders above ₹400 | Use code JUMBO"
"1619670186-5","https://www.swiggy.com/restaurants","Newly AddedAnnapurna DivineIndian--•43 MINS•₹400 FOR TWOQuick View","https://www.swiggy.com/restaurants/annapurna-divine-fraser-road-patna-371171","Annapurna Divine","Indian","Fraser Road, Fraser Road","--","43 MINS","Veg Only","null"
"1619670179-2","https://www.swiggy.com/restaurants","KHEER MAHALChinese, Indian, Sweets3.9•67 MINS•₹150 FOR TWO30% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/kheer-mahal-khajpura-patna-247681","KHEER MAHAL","Chinese, Indian, Sweets","Khajpura, Khajpura","3.9","67 MINS","Pure Veg","25% off | Use code UNLIMITED30% off up to ₹75 | Use code SWIGGYIT"
"1619670176-1","https://www.swiggy.com/restaurants","Chandan DhabaIndian, Fast Food, Tandoor, Biryani3.6•68 MINS•₹150 FOR TWO50% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/chandan-dhaba-khajpura-patna-110953","Chandan Dhaba","Indian, Fast Food, Tandoor, Biryani","Khajpura, Khajpura","3.6","68 MINS","Veg Only","50% off | Use code UNLIMITED50% off up to ₹100 | Use code SWIGGYIT"
"1619670196-9","https://www.swiggy.com/restaurants","Desi Tadka Family RestaurantBiryani, Indian, Chinese--•33 MINS•₹250 FOR TWO20% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/desi-tadka-family-restaurant-fraser-road-patna-350701","Desi Tadka Family Restaurant","Biryani, Indian, Chinese","Fraser Road, Fraser Road","--","35 MINS","Veg Only","20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT"
"1619670201-11","https://www.swiggy.com/restaurants","Zaika Family Fast FoodIndian, Chinese3.5•47 MINS•₹200 FOR TWO50% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/zaika-family-fast-food-hanuman-nagar-kankarbagh-patna-100481","Zaika Family Fast Food","Indian, Chinese","Hanuman nagar, Kankarbagh","3.5","47 MINS","Veg Only","40% off | Use code UNLIMITED50% off up to ₹100 | Use code SWIGGYIT"
"1619670189-6","https://www.swiggy.com/restaurants","Newly AddedAcharPapad RestaurantNorth Indian, Chinese, Fast Food, Beverages, Thalis--•38 MINS•₹400 FOR TWO40% off on orders above ₹149Quick View","https://www.swiggy.com/restaurants/acharpapad-restaurant-fraser-road-patna-364084","AcharPapad Restaurant","North Indian, Chinese, Fast Food, Beverages, Thalis","Fraser Road, Fraser Road","--","41 MINS","Pure Veg","40% off on orders above ₹149 up to ₹100"
"1619670194-8","https://www.swiggy.com/restaurants","Newly AddedMaa Shitala SweetsSweets--•36 MINS•₹100 FOR TWO30% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/maa-shitala-sweets-kankarbagh-patna-369222","Maa Shitala Sweets","Sweets","Kankarbagh, Kankarbagh","--","36 MINS","Veg Only","30% off up to ₹75 | Use code SWIGGYIT"
"1619670181-3","https://www.swiggy.com/restaurants","Cafe Coffee DayBeverages, Snacks, Desserts3.9•54 MINS•₹300 FOR TWO50% off | Use SWIGGYITQuick View","https://www.swiggy.com/restaurants/cafe-coffee-day-regent-theatre-fraser-road-patna-135831","Cafe Coffee Day","Beverages, Snacks, Desserts","REGENT THEATRE -PATNA, Fraser Road | Change Outlet","3.9","56 MINS","Veg Only","30% off | Use code UNLIMITED50% off up to ₹100 | Use code SWIGGYIT"
"1619670206-13","https://www.swiggy.com/restaurants","PromotedHARILALBakery, Sweets, Indian4.1•34 MINS•₹150 FOR TWO10% off | Use UNLIMITEDQuick View","https://www.swiggy.com/restaurants/harilal-kankarbagh-patna-246443","HARILAL","Bakery, Sweets, Indian","Kankarbagh, Kankarbagh","4.1","34 MINS","Pure Veg","10% off | Use code UNLIMITED"
